素材名称,广告ID,投手,平台,素材类型,落地页类型,花费($),曝光,点击,Sessions,HVU数,CPHQ($),投放状态,素材主题标签,落地页URL,FB广告库链接,数据备注,季度
广告组29：（弯棒）产品视频→产品详情,120241774571970122,HNN,Facebook,视频,产品详情,187.12,7489,403,199,26,7.2,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181026-twin-covenant,https://www.facebook.com/ads/library/?id=120241774571970122,✓UTM已恢复,2026Q1
广告组38：（以物易物）视频→剧场详情,120241820136040122,HNN,Facebook,视频,剧情详情,172.14,3641,80,49,3,57.38,投放中,剧情向,https://www.creviatech.com/scenarios/2030-payment-in-kind-cunnilingus-kissing-penetrative-sex-cream-pie,https://www.facebook.com/ads/library/?id=120241820136040122,✓UTM已恢复,2026Q1
广告组35：（肛塞）图片→产品详情,120241819740440122,HZM,Facebook,图片,产品详情,171.53,4149,99,67,2,85.77,投放中,"静态图, 产品特写",https://www.creviatech.com/ai-sex-toys/1181029-trembling-secret,https://www.facebook.com/ads/library/?id=120241819740440122,✓UTM已恢复,2026Q1
广告组36：（银发男）图片→剧情详情,120241819859050122,HZM,Facebook,图片,剧情详情,171.36,3038,87,71,14,12.24,投放中,"静态图, 人物角色, 剧情向",https://www.creviatech.com/scenarios/4726-surrender-to-his-obsession-first-time-penetration-squirting-praise,https://www.facebook.com/ads/library/?id=120241819859050122,✓UTM已恢复,2026Q1
广告组41：（药剂男）视频→剧场详情,120241820356820122,CHJ,Facebook,视频,剧情详情,169.29,3078,121,65,4,42.32,投放中,人物角色,https://www.creviatech.com/scenarios/2037-apothecary-s-prescription-medical-setting-possessiveness-power,https://www.facebook.com/ads/library/?id=120241820356820122,✓UTM已恢复,2026Q1
广告组42：（药剂男2）视频→剧场详情,120241820849000122,CHJ,Facebook,视频,剧情详情,162.61,3383,132,81,3,54.2,投放中,人物角色,https://www.creviatech.com/scenarios/2037-apothecary-s-prescription-medical-setting-possessiveness-power,https://www.facebook.com/ads/library/?id=120241820849000122,✓UTM已恢复,2026Q1
广告组37：（直棒）产品视频→产品详情,120241819949300122,HNN,Facebook,视频,产品详情,155.95,4925,177,67,4,38.99,停止,产品特写,https://www.creviatech.com/ai-sex-toys/1181025-deep-surge,https://www.facebook.com/ads/library/?id=120241819949300122,✓UTM已恢复,2026Q1
广告组45：(Why can't you...)图片→文章,120241862011520122,ZXR,Facebook,图片,文章详情,153.04,5174,70,51,1,153.04,投放中,"静态图, 内容营销",https://www.creviatech.com/zh/multisensory/womens-sexual-health/1697-why-can-t-you-get-erection-when-you-want-to-women-s-sexual-health,https://www.facebook.com/ads/library/?id=120241862011520122,✓UTM已恢复,2026Q1
广告组52：（乙游2）视频→剧场详情,120241865451280122,HZM,Facebook,视频,剧情详情,150.36,1897,49,48,6,25.06,投放中,人物角色,https://www.creviatech.com/scenarios/4727-midnight-ravaged-by-sea-alpha-dirty-talk-fingering-bondage-squirting,https://www.facebook.com/ads/library/?id=120241865451280122,✓UTM已恢复,2026Q1
广告组5：跳转到产品列表,120239860994540578,—,Facebook,视频,产品列表,142.88,8302,1065,,,,停止,"产品特写, 宽泛承接",https://www.creviatech.com/ai-sex-toys,https://www.facebook.com/ads/library/?id=120239860994540578,✗无UTM归因,2026Q1
广告组27：（蘑菇）产品视频→产品详情,120241770738870122,HZM,Facebook,视频,产品详情,135.31,6025,336,256,33,4.1,投放中,产品特写,https://www.creviatech.com/ai-sex-toys/1181028-that-first-flutter,https://www.facebook.com/ads/library/?id=120241770738870122,✓UTM已恢复,2026Q1
广告组34：（女生图片2）图片→首页,120241779920860122,ZXR,Facebook,图片,首页,125.77,4134,86,5,1,125.77,投放中,"静态图, 宽泛承接",https://www.creviatech.com/,https://www.facebook.com/ads/library/?id=120241779920860122,★数据偏低,2026Q1
广告组43：(The Possession Game)视频→剧场详情,120241861650880122,ZXR,Facebook,视频,剧情详情,125.6,2640,29,17,1,125.6,投放中,剧情向,https://www.creviatech.com/scenarios/879-possession-game-possessiveness-control-domination-blowjob-cunnilingus,https://www.facebook.com/ads/library/?id=120241861650880122,✓UTM已恢复,2026Q1
广告组28：（教练的独处）视频→剧场详情,120241774532720122,HZM,Facebook,视频,剧情详情,122.42,6335,378,306,55,2.23,停止,"人物角色, 剧情向",https://www.creviatech.com/scenarios/1746-special-stamina-training-teacher-student-dynamic-cunnilingus,https://www.facebook.com/ads/library/?id=120241774532720122,✓UTM已恢复,2026Q1
广告组47：（Mastering Anilingus）图片→文章,120241870270360122,CHJ,Facebook,图片,文章详情,113.26,3151,86,65,10,11.33,投放中,"静态图, 内容营销",https://www.creviatech.com/multisensory/power-dynamics/4690-30-adventurous-sex-positions-to-spark-passion-curiosity-and-deeper,https://www.facebook.com/ads/library/?id=120241870270360122,★落地页待核实,2026Q1
广告组58：（吸血鬼）产品视频→剧情详情,120241870223190122,HNN,Facebook,视频,剧情详情,78.45,2682,6,14,1,78.45,投放中,"产品特写, 人物角色, 剧情向",https://www.creviatech.com/scenarios/2305-vampire-s-blood-ritual-vampires-dark-romance-blood-play-power,https://www.facebook.com/ads/library/?id=120241870223190122,✓UTM已恢复,2026Q1
Watch Anime,1578619,LZL,JuicyAds,视频,—,78.08,24209,1735,,,,停止,待标注,,https://www.facebook.com/ads/library/?id=1578619,✗无站内数据,2026Q1
广告组44：(Doctor's Prescription)视频→剧场,120241861934780122,ZXR,Facebook,视频,剧情详情,77.26,1920,19,19,1,77.26,投放中,剧情向,https://www.creviatech.com/scenarios/781-doctor-s-prescription-fingering-cunnilingus-multiple-orgasms,https://www.facebook.com/ads/library/?id=120241861934780122,✓UTM已恢复,2026Q1
Smuthub,2112026,LZL,JuicyAds,—,—,16.1,6432,96,,,,停止,待标注,,https://www.facebook.com/ads/library/?id=2112026,✗无站内数据,2026Q1
Erotici Racconti,1917614,—,JuicyAds,—,—,14.03,289287,27,,,,投放中,待标注,,https://www.facebook.com/ads/library/?id=1917614,✗无站内数据,2026Q1
CeritaOnline.com - Indonesian Sex Stories,2058775,—,JuicyAds,—,—,8.46,104577,20,,,,停止,待标注,,https://www.facebook.com/ads/library/?id=2058775,✗无站内数据,2026Q1
Erotic Stories in Spanish,2092912,—,JuicyAds,—,—,2.01,2090,2,,,,投放中,待标注,,https://www.facebook.com/ads/library/?id=2092912,✗无站内数据,2026Q1
300×50活动2,8187086,—,ExoClick,—,—,0.42,314376,21,,,,投放中,待标注,,https://www.facebook.com/ads/library/?id=8187086,✗无站内数据,2026Q1
NA-68684,NA-68684,—,JuicyAds,—,—,0.05,1338,2,,,,停止,待标注,,,✗无站内数据,2026Q1
